claim_id,manuscript_claim,evidence_file,evidence_fields_or_rows,status,boundary
C01,"GSE29272 contains 134 matched tumor-normal pairs","clean_data/GSE29272_sample_info.csv","268 rows; 134 pair IDs with both groups",supported,"adjacent normal, not healthy control"
C02,"Paired limma-TREAT identified 122 DEGs: 47 up and 75 down","results/DEG/GSE29272_DEG_summary.csv","significant_genes; upregulated; downregulated",supported,"threshold is TREAT FDR<0.05 and absolute effect >1"
C03,"M04 contains 192 genes and correlates r=-0.756 with disease","results/WGCNA/GSE29272_WGCNA_summary.csv","key_module_genes; key_module_correlation; key_module_FDR",supported,"R2 criterion was not reached; beta=28 fallback"
C04,"DEG-M04 intersection contains 73 genes, all down","results/HubGene/GSE29272_candidate_genes.csv","73 rows; DEG_direction=Down",supported,"intersection is not a clinical biomarker set"
C05,"Both external cohorts have 72/72 genes directionally concordant","results/PaperValidation/external_bulk_validation_summary.csv","down_direction_genes=72; direction_concordance=1",supported,"IGJ absent"
C06,"GSE79973 module difference is -1.290, P=0.00183","results/PaperValidation/external_bulk_validation_summary.csv","GSE79973 row",supported,"within-cohort standardized score"
C07,"GSE19826 module difference is -1.100, P=0.00487","results/PaperValidation/external_bulk_validation_summary.csv","GSE19826 row",supported,"after log2(signal+1)"
C08,"GSE206785 has 111140 cells from 24 paired patients","results/PaperValidation/SingleCell/singlecell_analysis_summary.csv","cells; patients; samples",supported,"processed public expression"
C09,"Module localizes predominantly to epithelial cells","results/PaperValidation/SingleCell/singlecell_type_pseudobulk_scores.csv","Type-specific score distributions",supported,"author annotations used"
C10,"No epithelial pseudobulk difference was detected in GSE206785","results/PaperValidation/SingleCell/singlecell_analysis_summary.csv","difference=-0.014188; 95% CI -0.281 to 0.253; paired P=0.906758",supported,"10 complete pairs; not an equivalence result; tumor-derived does not mean malignant"
C11,"Epithelial proportion is lower in tumor","results/PaperValidation/Deconvolution/GSE206785_whole_tissue_composition_summary.csv","normal and tumor proportions; paired P",supported,"captured-cell proportion, not histology"
C12,"Composition-expected difference approximates observed difference","results/PaperValidation/Deconvolution/GSE206785_whole_tissue_composition_summary.csv","observed=-0.457458; expected=-0.499178; residual=0.041720",supported,"descriptive counterfactual, not causal percentage"
C13,"External bulk adjustment attenuates effects by 80.3% and 73.1%","results/PaperValidation/Deconvolution/bulk_deconvolution_adjustment_summary.csv","GSE79973 and GSE19826 rows",supported,"relative lineage scores; candidate genes excluded"
C14,"GSE29272 adjustment is marker-limited","results/PaperValidation/Deconvolution/bulk_deconvolution_adjustment_summary.csv","2 identity lineages; 10 markers",supported,"cannot interpret 5.1% attenuation as absence of confounding"
C15,"STRING network has 73 nodes, 135 edges and 13 isolates","results/PPI","network summary and node/edge tables",supported,"descriptive; no added nodes; confidence 0.4"
C16,"The module is composition-sensitive but cannot be reduced to a purely compositional signal","C08-C14; C17-C21","triangulation across two single-cell cohorts, candidate-excluded adjustment and spatial localization",supported_with_inference,"within-epithelial effect is cohort-dependent; no causal mechanism claimed"
C17,"GSE270680 contains 470609 cells from 27 donors and 77 libraries","results/PaperValidation/SingleCellReplication/GSE270680_object_audit.csv","cells; patients; libraries",supported,"author-annotated public Seurat object"
C18,"GSE270680 epithelial module score is lower in tumor","results/PaperValidation/SingleCellReplication/GSE270680_singlecell_replication_summary.csv","11 pairs; difference=-0.699732; 95% CI -1.00721 to -0.392255; paired P=0.000484391",supported,"all 11 differences negative; minimum 20 epithelial cells per tissue"
C19,"GSE270680 lineage-adjusted tumor coefficient remains negative","results/PaperValidation/SingleCellReplication/GSE270680_singlecell_replication_summary.csv","coefficient=-0.321449; robust SE=0.116304; P=0.00939476",supported,"author subclusters; within-subcluster paired sample sizes remain sparse"
C20,"The two single-cell cohort-specific standardized effects differ markedly","results/PaperValidation/SingleCellReplication/singlecell_cross_cohort_standardized_effects.csv","GSE206785 Hedges gz=-0.035; GSE270680 Hedges gz=-1.411",supported,"descriptive comparison only; no pooled effect or heterogeneity statistic calculated"
C21,"The module spatially colocalizes with epithelial and differentiated gastric markers","results/PaperValidation/Spatial/GSE270678_spatial_concordance_tests.csv","epithelial median rho=0.365358; gastric differentiated rho=0.134768; both FDR=0.00209547",supported,"19 donors; 33 primary sections; 39 technical replicates excluded from inference; tumor-only localization"
C22,"The single-cell cohorts used different epithelial-selection protocols","source publications and results/PaperValidation/SingleCellReplication/singlecell_cohort_characteristics.csv","GSE206785 used EPCAM-positive depletion; GSE270680 reported viable CD235a-negative sorting without EPCAM depletion",supported,"plausible source of selection heterogeneity, not a demonstrated cause"
C23,"Shared clinical fields do not identify a clear source of the discordant cohort effects","results/PaperValidation/SingleCellReplication/singlecell_cohort_comparison_tests.csv","age, sex, stage, histology and platform exploratory FDR values all exceed 0.05",supported_with_inference,"9/10 versus 11/11 clinical coverage; small selected subsets; anatomic position unavailable for GSE270680"
