"reference_number","manuscript_year","recent_2021_2026","cited_in_text","doi","crossref_status","crossref_year","crossref_title","old_reference_rationale"
1,2024,TRUE,TRUE,"10.3322/caac.21834","resolved",2024,"Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries",""
2,2014,FALSE,TRUE,"10.1038/nature13480","resolved",2014,"Comprehensive molecular characterization of gastric adenocarcinoma","Foundational TCGA gastric-cancer molecular classification; retained as the original source."
3,2024,TRUE,TRUE,"10.1007/s13402-024-00951-9","resolved",2024,"Research advances in the molecular classification of gastric cancer",""
4,2022,TRUE,TRUE,"10.1158/2159-8290.CD-21-0683","resolved",2022,"Single-Cell Atlas of Lineage States, Tumor Microenvironment, and Subtype-Specific Expression Programs in Gastric Cancer",""
5,2024,TRUE,TRUE,"10.1186/s12915-024-01812-5","resolved",2024,"A human stomach cell type transcriptome atlas",""
6,2023,TRUE,TRUE,"10.1016/j.ccell.2023.10.004","resolved",2023,"Spatiotemporal genomic profiling of intestinal metaplasia reveals clonal dynamics of gastric cancer progression",""
7,2022,TRUE,TRUE,"10.3389/fphys.2022.905523","resolved",2022,"ESRRG, ATP4A, and ATP4B as Diagnostic Biomarkers for Gastric Cancer: A Bioinformatic Analysis Based on Machine Learning",""
8,2023,TRUE,TRUE,"10.1093/nsr/nwad094","resolved",2023,"Integrative single-cell multiomics analyses dissect molecular signatures of intratumoral heterogeneities and differentiation states of human gastric cancer",""
9,2022,TRUE,TRUE,"10.1038/s43018-022-00356-3","resolved",2022,"Cell type and gene expression deconvolution with BayesPrism enables Bayesian integrative analysis across bulk and single-cell RNA sequencing in oncology",""
10,2021,TRUE,TRUE,"10.1038/s41467-021-25960-2","resolved",2021,"Confronting false discoveries in single-cell differential expression",""
11,2022,TRUE,TRUE,"10.1093/bib/bbac430","resolved",2022,"MuSiC2: cell-type deconvolution for multi-condition bulk RNA-seq data",""
12,2020,FALSE,TRUE,"10.1038/s41467-020-15816-6","resolved",2020,"Accurate estimation of cell composition in bulk expression through robust integration of single-cell information","Original BisqueRNA deconvolution method used by the analysis; no equivalent recent primary method citation."
13,2024,TRUE,TRUE,"10.1093/nar/gkad965","resolved",2023,"NCBI GEO: archive for gene expression and epigenomics data sets: 23-year update",""
14,2013,FALSE,TRUE,"10.1371/journal.pone.0063826","resolved",2013,"Comparison of Global Gene Expression of Gastric Cardia and Noncardia Cancers from a High-Risk Population in China","Original source publication for the GSE29272 discovery cohort."
15,2022,TRUE,TRUE,"10.1186/s13059-022-02828-2","resolved",2022,"Parallel single-cell and bulk transcriptome analyses reveal key features of the gastric tumor microenvironment",""
16,2007,FALSE,TRUE,"10.1093/bioinformatics/btm254","resolved",2007,"GEOquery: a bridge between the Gene Expression Omnibus (GEO) and BioConductor","Original GEOquery software paper for the exact download interface used."
17,2015,FALSE,TRUE,"10.1093/nar/gkv007","resolved",2015,"limma powers differential expression analyses for RNA-sequencing and microarray studies","Primary limma methods paper for the exact differential-expression framework used."
18,2008,FALSE,TRUE,"10.1186/1471-2105-9-559","resolved",2008,"WGCNA: an R package for weighted correlation network analysis","Original WGCNA software and method paper for the exact network framework used."
19,2021,TRUE,TRUE,"10.1016/j.xinn.2021.100141","resolved",2021,"clusterProfiler 4.0: A universal enrichment tool for interpreting omics data",""
20,2015,FALSE,TRUE,"10.1016/j.cels.2015.12.004","resolved",2015,"The Molecular Signatures Database Hallmark Gene Set Collection","Original paper defining the MSigDB Hallmark collection used in GSEA."
21,2023,TRUE,TRUE,"10.1093/nar/gkac1000","resolved",2022,"The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest",""
22,2026,TRUE,TRUE,"10.1038/s41467-026-68612-z","resolved",2026,"A spatially resolved atlas of gastric cancer characterises a lymphocyte-aggregated region",""
