gene,log2FoldChange,padj,status
ATP4B,-6.05370708971642,5.15920185228672e-51,Down
GIF,-5.62094905523881,1.30722168668828e-49,Down
ATP4A,-5.2128387901791,8.16018248956505e-48,Down
GKN1,-5.68463261637313,2.18651800661638e-41,Down
KCNE2,-3.3772953043806,4.21569007544e-39,Down
ESRRG,-3.26082000163433,1.30986180467178e-35,Down
LIPF,-5.06313939464179,1.36219890952886e-34,Down
CPA2,-2.74072608016418,3.93396512688978e-32,Down
MT1M,-3.20131086202239,7.9587934252838e-31,Down
PSCA,-3.40120344449254,1.26954188358654e-28,Down
CHIA,-3.96375346445522,3.22725858085279e-28,Down
SULF1,2.31195706978856,1.38771963332374e-27,Up
PGC,-3.97569993314179,1.63917301661863e-26,Down
SST,-2.77953728,1.00933295564322e-25,Down
COL1A2,2.3058125317388,1.91363752860783e-25,Up
KCNJ16,-2.81102438189552,2.80717349145881e-24,Down
TIMP1,2.10994419694776,4.87047446050562e-24,Up
CA9,-2.29022040755224,1.43550427096142e-22,Down
ANXA10,-3.36141894991791,2.30162465733905e-21,Down
MT1F,-2.22903137728731,6.76342050190817e-21,Down
MUC5AC,-2.76019485897263,1.26510010538519e-20,Down
THBS2,2.16379382279104,2.57996806755844e-20,Up
SPP1,2.64009515620896,9.32593151768252e-20,Up
TFF2,-3.27920375512687,2.64073234743689e-19,Down
AKR1B10,-3.40401494401493,3.82961311780347e-18,Down
AKR7A3,-1.89758469587313,1.87085998714272e-17,Down
CCKBR,-1.75397051199254,6.56098363064353e-17,Down
SOSTDC1,-1.97135268927612,7.12578535016761e-17,Down
COL5A2,1.87242121364552,1.02533690369249e-16,Up
ASPN,2.30327344788806,5.34421002868535e-16,Up
MT1H,-1.88596468502239,1.50748312605083e-15,Down
MT1X,-1.95354894227612,2.04629116381541e-15,Down
AZGP1,-2.59424313147761,5.85046286411885e-15,Down
MT1G,-1.84110876831343,8.65911242170415e-15,Down
CA2,-2.82290404437314,2.41588553860689e-14,Down
ALDH3A1,-2.13411989669403,2.45260191057905e-14,Down
MT1E,-1.75917273094403,1.08586056393374e-13,Down
COL3A1,1.74125593466667,1.5509685165423e-13,Up
TFF1,-3.14445332554477,1.58555520371582e-13,Down
MUC6,-2.03054937210448,1.95337967746594e-13,Down
OLFML2B,1.8370970146791,3.29336131181388e-13,Up
MEST,1.75860027430597,4.26428573832586e-13,Up
LTF,-2.67363531399254,1.05439295993306e-12,Down
SULT1C2,-2.42599329887562,1.63129594044428e-12,Down
REG1A,-2.9051269497388,7.64965242605905e-12,Down
CHGA,-1.63201798433582,7.9372339289332e-12,Down
SPARC,1.64120373851119,1.07934284680145e-11,Up
CAPN9,-1.71461363603731,1.91597525083784e-11,Down
PIK3C2G,-1.56262024966418,8.45936818223031e-11,Down
BGN,1.51768337495025,9.82363588065099e-11,Up
THY1,1.51446910468657,2.46195535962533e-10,Up
CKB,-1.78088884492537,2.71051787620754e-10,Down
FAP,1.61657330598508,3.32970158014527e-10,Up
MT1HL1,-1.58646111573134,4.25753530778028e-10,Down
COL6A3,1.69189902429104,8.86087707401534e-10,Up
KLK11,-1.80890633345522,1.58604425074859e-09,Down
