dataset,sample,group,pair_id,module_score
GSE29272,GSM723464,Normal,TYB0001,1.23996474333817
GSE29272,GSM723465,Tumor,TYB0001,-0.562693123235339
GSE29272,GSM723466,Normal,TYB0002,0.348368724440534
GSE29272,GSM723467,Tumor,TYB0002,-0.687850412488821
GSE29272,GSM723468,Normal,TYB0003,0.485930350906315
GSE29272,GSM723469,Tumor,TYB0003,-0.170777775951663
GSE29272,GSM723470,Normal,TYB0004,1.38725802166287
GSE29272,GSM723471,Tumor,TYB0004,-0.692248958661064
GSE29272,GSM723472,Normal,TYB0005,1.30099593545523
GSE29272,GSM723473,Tumor,TYB0005,-0.563611734188543
GSE29272,GSM723474,Normal,TYB0006,1.15099258169007
GSE29272,GSM723475,Tumor,TYB0006,-0.601404941125555
GSE29272,GSM723476,Normal,TYB0007,1.35020633748713
GSE29272,GSM723477,Tumor,TYB0007,-0.443884016338612
GSE29272,GSM723478,Normal,TYB0008,0.969157807728546
GSE29272,GSM723479,Tumor,TYB0008,-0.736135667341209
GSE29272,GSM723480,Normal,TYB0009,1.09210232329709
GSE29272,GSM723481,Tumor,TYB0009,-0.682988710275837
GSE29272,GSM723482,Normal,TYB0010,1.15677518645287
GSE29272,GSM723483,Tumor,TYB0010,-0.427109596257032
GSE29272,GSM723484,Normal,TYB0011,1.23752148668701
GSE29272,GSM723485,Tumor,TYB0011,-0.51603014954637
GSE29272,GSM723486,Normal,TYB0012,-0.601507437844192
GSE29272,GSM723487,Tumor,TYB0012,-0.614484279449667
GSE29272,GSM723488,Normal,TYB0013,0.729152404264147
GSE29272,GSM723489,Tumor,TYB0013,-0.554711866189806
GSE29272,GSM723490,Normal,TYB0014,0.117812161768535
GSE29272,GSM723491,Tumor,TYB0014,-0.140692444264357
GSE29272,GSM723492,Normal,TYB0015,1.15461927078395
GSE29272,GSM723493,Tumor,TYB0015,-0.564395360565241
GSE29272,GSM723494,Normal,TYB0016,1.20809844953915
GSE29272,GSM723495,Tumor,TYB0016,-0.358740355808169
GSE29272,GSM723496,Normal,TYB0017,1.43199847216779
GSE29272,GSM723497,Tumor,TYB0017,0.0848595672656688
GSE29272,GSM723498,Normal,TYB0018,0.452795099204892
GSE29272,GSM723499,Tumor,TYB0018,-0.595924147786702
GSE29272,GSM723500,Normal,TYB0019,0.810467687994
GSE29272,GSM723501,Tumor,TYB0019,-0.697848599046641
GSE29272,GSM723502,Normal,TYB0020,1.32982424424475
GSE29272,GSM723503,Tumor,TYB0020,-0.173246894636384
GSE29272,GSM723504,Normal,TYB0021,1.46182190469996
GSE29272,GSM723505,Tumor,TYB0021,-0.0940670263605229
GSE29272,GSM723506,Normal,TYB0022,1.05171435707951
GSE29272,GSM723507,Tumor,TYB0022,-0.149692755283313
GSE29272,GSM723508,Normal,TYB0023,1.1430791822453
GSE29272,GSM723509,Tumor,TYB0023,-0.490267052327993
GSE29272,GSM723510,Normal,TYB0024,1.07310169858123
GSE29272,GSM723511,Tumor,TYB0024,-0.486279979846087
GSE29272,GSM723512,Normal,TYB0025,0.73030240591588
GSE29272,GSM723513,Tumor,TYB0025,-0.457332719904404
GSE29272,GSM723514,Normal,TYB0026,1.13317941701088
GSE29272,GSM723515,Tumor,TYB0026,-0.709397715132076
GSE29272,GSM723516,Normal,TYB0027,1.13532713827408
GSE29272,GSM723517,Tumor,TYB0027,-0.517676295865653
GSE29272,GSM723518,Normal,TYB0028,1.17866814910735
GSE29272,GSM723519,Tumor,TYB0028,-0.888481229268328
GSE29272,GSM723520,Normal,TYB0029,1.00682029105006
GSE29272,GSM723521,Tumor,TYB0029,-0.777065318601102
GSE29272,GSM723522,Normal,TYB0030,1.13817182211725
GSE29272,GSM723523,Tumor,TYB0030,-0.55191156477
GSE29272,GSM723524,Normal,TYB0031,1.08116251178219
GSE29272,GSM723525,Tumor,TYB0031,-0.162965260235711
GSE29272,GSM723526,Normal,TYB0032,0.823031733100374
GSE29272,GSM723527,Tumor,TYB0032,-0.503278442064545
GSE29272,GSM723528,Normal,TYB0033,0.753449327758125
GSE29272,GSM723529,Tumor,TYB0033,-0.77286255228089
GSE29272,GSM723530,Normal,TYB0034,1.10173399672202
GSE29272,GSM723531,Tumor,TYB0034,-0.313333448010546
GSE29272,GSM723532,Normal,TYB0035,1.20794042998883
GSE29272,GSM723533,Tumor,TYB0035,-0.394717546074819
GSE29272,GSM723534,Normal,TYB0036,1.18155942792827
GSE29272,GSM723535,Tumor,TYB0036,-0.234040062386808
GSE29272,GSM723536,Normal,TYB0037,1.24921316810537
GSE29272,GSM723537,Tumor,TYB0037,-0.735960922105661
GSE29272,GSM723538,Normal,TYB0038,0.701477821192915
GSE29272,GSM723539,Tumor,TYB0038,-0.229582214740863
GSE29272,GSM723540,Normal,TYB0039,1.35974845721298
GSE29272,GSM723541,Tumor,TYB0039,-0.66488786548696
GSE29272,GSM723542,Normal,TYB0040,1.0412281154457
GSE29272,GSM723543,Tumor,TYB0040,-0.679064845769647
GSE29272,GSM723544,Normal,TYB0041,0.797620352218668
