dataset,gene,discovery_log2FC,validation_mean_paired_difference,direction_concordant
GSE79973,ATP4B,-6.05370708971642,-4.34345756,TRUE
GSE79973,GIF,-5.62094905523881,-7.74699687,TRUE
GSE79973,ATP4A,-5.2128387901791,-8.02319208,TRUE
GSE79973,GKN1,-5.68463261637313,-8.99115714,TRUE
GSE79973,KCNE2,-3.3772953043806,-5.63038102,TRUE
GSE79973,ESRRG,-3.26082000163433,-4.99266838,TRUE
GSE79973,LIPF,-5.06313939464179,-6.61499794,TRUE
GSE79973,CPA2,-2.74072608016418,-3.9419984,TRUE
GSE79973,MT1M,-3.20131086202239,-4.92014241,TRUE
GSE79973,PSCA,-3.40120344449254,-3.63583953,TRUE
GSE79973,CHIA,-3.96375346445522,-5.70339411,TRUE
GSE79973,PGC,-3.97569993314179,-4.813248075,TRUE
GSE79973,SST,-2.77953728,-3.18566648,TRUE
GSE79973,KCNJ16,-2.81102438189552,-4.981106899,TRUE
GSE79973,CA9,-2.29022040755224,-3.76117257,TRUE
GSE79973,ANXA10,-3.36141894991791,-3.43827124,TRUE
GSE79973,MT1F,-2.22903137728731,-2.627999925,TRUE
GSE79973,MUC5AC,-2.76019485897263,-2.986994855,TRUE
GSE79973,TFF2,-3.27920375512687,-4.30775816,TRUE
GSE79973,AKR1B10,-3.40401494401493,-4.5482946,TRUE
GSE79973,AKR7A3,-1.89758469587313,-2.104753425,TRUE
GSE79973,CCKBR,-1.75397051199254,-2.905577165,TRUE
GSE79973,SOSTDC1,-1.97135268927612,-5.70233305,TRUE
GSE79973,MT1H,-1.88596468502239,-2.22234495,TRUE
GSE79973,MT1X,-1.95354894227612,-1.7697723,TRUE
GSE79973,AZGP1,-2.59424313147761,-2.91414968,TRUE
GSE79973,MT1G,-1.84110876831343,-2.60869356,TRUE
GSE79973,CA2,-2.82290404437314,-3.0384191,TRUE
GSE79973,ALDH3A1,-2.13411989669403,-3.91998467,TRUE
GSE79973,MT1E,-1.75917273094403,-2.259602975,TRUE
GSE79973,TFF1,-3.14445332554477,-4.22985378,TRUE
GSE79973,MUC6,-2.03054937210448,-2.29819655,TRUE
GSE79973,LTF,-2.67363531399254,-4.77869475,TRUE
GSE79973,SULT1C2,-2.42599329887562,-2.831979945,TRUE
GSE79973,REG1A,-2.9051269497388,-2.42145511,TRUE
GSE79973,CHGA,-1.63201798433582,-3.99725038,TRUE
GSE79973,CAPN9,-1.71461363603731,-3.815542525,TRUE
GSE79973,PIK3C2G,-1.56262024966418,-3.70888751,TRUE
GSE79973,CKB,-1.78088884492537,-2.08832569,TRUE
GSE79973,MT1HL1,-1.58646111573134,-2.02777715,TRUE
GSE79973,KLK11,-1.80890633345522,-1.84151847,TRUE
GSE79973,ALDH1A1,-2.02176662156716,-2.00335085,TRUE
GSE79973,HPGD,-1.68132110297761,-3.282659525,TRUE
GSE79973,CLDN18,-2.14650162879353,-3.7566606325,TRUE
GSE79973,PBLD,-1.79761638079104,-2.419773825,TRUE
GSE79973,DUOX1,-1.52422770904104,-0.782562434666666,TRUE
GSE79973,MT2A,-1.47806134440299,-1.55171375,TRUE
GSE79973,DGKD,-1.34288320160448,-1.55979165,TRUE
GSE79973,GPER1,-1.39183552540299,-1.532241693,TRUE
GSE79973,ADH1C,-1.67728206825373,-4.19474575,TRUE
GSE79973,IGFBP2,-1.54483117503731,-1.97616234,TRUE
GSE79973,GPRC5C,-1.38828834923881,-1.60801843,TRUE
GSE79973,CTSE,-1.93839493347761,-2.80170565,TRUE
GSE79973,TCN1,-1.94633967332836,-2.64661645,TRUE
GSE79973,KIAA1324,-1.4739999729403,-2.88078309666665,TRUE
GSE79973,UGT2B15,-1.44880942567911,-1.75863801,TRUE
GSE79973,FMO5,-1.37489878935448,-1.64794382666667,TRUE
GSE79973,APLP1,-1.35856003406716,-2.38576698,TRUE
GSE79973,TMPRSS2,-1.33974548911567,-1.8374279175,TRUE
GSE79973,KRT20,-1.86227400429851,-4.90290641,TRUE
GSE79973,ACSM3,-1.33236239025373,-1.63012892,TRUE
GSE79973,DUOX2,-1.58579049145523,-2.31069193,TRUE
GSE79973,ECI2,-1.29119499981343,-0.97985315,TRUE
GSE79973,PTPRZ1,-1.30358992460448,-2.90783203,TRUE
GSE79973,XYLT2,-1.23521488548507,-1.02407141333333,TRUE
GSE79973,COL2A1,-1.37088075879851,-3.279454765,TRUE
GSE79973,HOMER2,-1.27161416896269,-1.280395865,TRUE
GSE79973,ALDH6A1,-1.16739648163134,-1.384814248,TRUE
GSE79973,PXMP2,-1.20442029232836,-1.5090306,TRUE
GSE79973,ADAM28,-1.26061963671144,-1.9479156025,TRUE
GSE79973,FOLR1,-1.30226514785075,-1.287854145,TRUE
GSE79973,FBP2,-1.16829347575373,-4.0148564,TRUE
GSE19826,ATP4B,-6.05370708971642,-3.26605558959905,TRUE
GSE19826,GIF,-5.62094905523881,-5.35482402020585,TRUE
GSE19826,ATP4A,-5.2128387901791,-5.99118748926737,TRUE
GSE19826,GKN1,-5.68463261637313,-5.26617401482664,TRUE
GSE19826,KCNE2,-3.3772953043806,-5.46393406064022,TRUE
GSE19826,ESRRG,-3.26082000163433,-3.57376361568631,TRUE
GSE19826,LIPF,-5.06313939464179,-5.29511382903125,TRUE
GSE19826,CPA2,-2.74072608016418,-3.5302940188648,TRUE
GSE19826,MT1M,-3.20131086202239,-3.60604868851194,TRUE
GSE19826,PSCA,-3.40120344449254,-3.00544847255408,TRUE
GSE19826,CHIA,-3.96375346445522,-5.03407160449761,TRUE
GSE19826,PGC,-3.97569993314179,-4.14255763776956,TRUE
GSE19826,SST,-2.77953728,-3.97941041318194,TRUE
GSE19826,KCNJ16,-2.81102438189552,-2.57274923553926,TRUE
GSE19826,CA9,-2.29022040755224,-2.88807089523493,TRUE
GSE19826,ANXA10,-3.36141894991791,-2.90836663523434,TRUE
GSE19826,MT1F,-2.22903137728731,-1.80613381258389,TRUE
GSE19826,MUC5AC,-2.76019485897263,-2.72941981963845,TRUE
GSE19826,TFF2,-3.27920375512687,-3.35675617553174,TRUE
GSE19826,AKR1B10,-3.40401494401493,-2.3524834894261,TRUE
GSE19826,AKR7A3,-1.89758469587313,-2.26300465177325,TRUE
GSE19826,CCKBR,-1.75397051199254,-1.82463457711674,TRUE
GSE19826,SOSTDC1,-1.97135268927612,-4.24454154897244,TRUE
GSE19826,MT1H,-1.88596468502239,-1.44378666175871,TRUE
GSE19826,MT1X,-1.95354894227612,-1.19740699854278,TRUE
GSE19826,AZGP1,-2.59424313147761,-3.49997239421683,TRUE
GSE19826,MT1G,-1.84110876831343,-1.97864256705159,TRUE
GSE19826,CA2,-2.82290404437314,-2.10005645564515,TRUE
GSE19826,ALDH3A1,-2.13411989669403,-2.74893548047993,TRUE
GSE19826,MT1E,-1.75917273094403,-1.58623934696372,TRUE
GSE19826,TFF1,-3.14445332554477,-2.00488108738277,TRUE
GSE19826,MUC6,-2.03054937210448,-3.3442683479136,TRUE
GSE19826,LTF,-2.67363531399254,-2.98691464538875,TRUE
GSE19826,SULT1C2,-2.42599329887562,-1.58592728668158,TRUE
GSE19826,REG1A,-2.9051269497388,-2.97370442586873,TRUE
GSE19826,CHGA,-1.63201798433582,-3.43956146523452,TRUE
GSE19826,CAPN9,-1.71461363603731,-2.67063744869874,TRUE
GSE19826,PIK3C2G,-1.56262024966418,-2.09859971154155,TRUE
GSE19826,CKB,-1.78088884492537,-1.76981235914609,TRUE
GSE19826,MT1HL1,-1.58646111573134,-1.53228917180357,TRUE
GSE19826,KLK11,-1.80890633345522,-2.776042497413,TRUE
GSE19826,ALDH1A1,-2.02176662156716,-2.09139656169455,TRUE
GSE19826,HPGD,-1.68132110297761,-1.93441782864918,TRUE
GSE19826,CLDN18,-2.14650162879353,-2.79225983119561,TRUE
GSE19826,PBLD,-1.79761638079104,-1.49689505027047,TRUE
GSE19826,DUOX1,-1.52422770904104,-1.37314493612276,TRUE
GSE19826,MT2A,-1.47806134440299,-1.04701668910645,TRUE
GSE19826,DGKD,-1.34288320160448,-1.34184165375472,TRUE
GSE19826,GPER1,-1.39183552540299,-2.31657551566385,TRUE
GSE19826,ADH1C,-1.67728206825373,-1.87282653731329,TRUE
GSE19826,IGFBP2,-1.54483117503731,-1.65553005615743,TRUE
GSE19826,GPRC5C,-1.38828834923881,-1.4599721544906,TRUE
GSE19826,CTSE,-1.93839493347761,-2.23030750064054,TRUE
GSE19826,TCN1,-1.94633967332836,-2.46001168484014,TRUE
GSE19826,KIAA1324,-1.4739999729403,-2.16863020893848,TRUE
