gene,dataset,effect
AKR1B10,GSE29272,-3.40401494401493
ANXA10,GSE29272,-3.36141894991791
ATP4A,GSE29272,-5.2128387901791
ATP4B,GSE29272,-6.05370708971642
CHIA,GSE29272,-3.96375346445522
GIF,GSE29272,-5.62094905523881
GKN1,GSE29272,-5.68463261637313
KCNE2,GSE29272,-3.3772953043806
LIPF,GSE29272,-5.06313939464179
PGC,GSE29272,-3.97569993314179
PSCA,GSE29272,-3.40120344449254
TFF2,GSE29272,-3.27920375512687
AKR1B10,GSE19826,-2.3524834894261
ANXA10,GSE19826,-2.90836663523434
ATP4A,GSE19826,-5.99118748926737
ATP4B,GSE19826,-3.26605558959905
CHIA,GSE19826,-5.03407160449761
GIF,GSE19826,-5.35482402020585
GKN1,GSE19826,-5.26617401482664
KCNE2,GSE19826,-5.46393406064022
LIPF,GSE19826,-5.29511382903125
PGC,GSE19826,-4.14255763776956
PSCA,GSE19826,-3.00544847255408
TFF2,GSE19826,-3.35675617553174
AKR1B10,GSE79973,-4.5482946
ANXA10,GSE79973,-3.43827124
ATP4A,GSE79973,-8.02319208
ATP4B,GSE79973,-4.34345756
CHIA,GSE79973,-5.70339411
GIF,GSE79973,-7.74699687
GKN1,GSE79973,-8.99115714
KCNE2,GSE79973,-5.63038102
LIPF,GSE79973,-6.61499794
PGC,GSE79973,-4.813248075
PSCA,GSE79973,-3.63583953
TFF2,GSE79973,-4.30775816
