Patient,Sample,Tissue,Type,n_cells,module_score,module_score_median
P171012,171012N,Normal,Plasma,46,-0.0219692506458381,-0.0420133567992192
P171012,171012T,Tumor,Plasma,126,-0.13288521571718,-0.148617177539994
P171116,171116N,Normal,Plasma,85,-0.124137744749282,-0.148617177539994
P171116,171116T,Tumor,Plasma,30,-0.0843592179269244,-0.131681531567854
P171218,171218N,Normal,Plasma,437,-0.110898531927534,-0.138189230559126
P171218,171218T,Tumor,Plasma,368,-0.105271013812474,-0.138189230559126
P180116,180116N,Normal,Plasma,131,-0.0440084841341155,-0.0641499607499932
P180116,180116T,Tumor,Plasma,46,-0.122985657119162,-0.130945211174489
P180118,180118N,Normal,Plasma,110,-0.124094964750545,-0.148617177539994
P180118,180118T,Tumor,Plasma,770,-0.123786620213202,-0.138189230559126
P180123,180123N,Normal,Plasma,494,-0.11727394615791,-0.148617177539994
P180123,180123T,Tumor,Plasma,139,-0.131361248122108,-0.148617177539994
P180124,180124N,Normal,Plasma,971,-0.121776248972655,-0.148617177539994
P180124,180124T,Tumor,Plasma,372,-0.127339803928024,-0.148617177539994
P180129,180129N,Normal,Plasma,185,0.0435927145278714,0.0181733482719001
P180129,180129T,Tumor,Plasma,165,-0.0275990082653054,-0.0532329982801101
P180305,180305T,Tumor,Plasma,54,-0.0204370010759665,-0.0813406631167172
P180308,180308T,Tumor,Plasma,1502,-0.125658410438827,-0.148617177539994
P180605,180605T,Tumor,Plasma,218,-0.137798888982391,-0.148617177539994
P180606,180606T,Tumor,Plasma,32,-0.132541777298022,-0.148617177539994
P180608,180608N,Normal,Plasma,222,-0.113665518443179,-0.130280682305753
P180608,180608T,Tumor,Plasma,54,-0.132231921284788,-0.148617177539994
P181019,181019T,Tumor,Plasma,126,-0.129916736944322,-0.148617177539994
P181025,181025N,Normal,Plasma,142,-0.118816665334368,-0.148617177539994
P181025,181025T,Tumor,Plasma,113,-0.114407109053975,-0.148617177539994
P181026,181026T,Tumor,Plasma,83,-0.129615811607792,-0.148617177539994
