Patient,Sample,Tissue,n_cells,ATP4B,GIF,ATP4A,GKN1,KCNE2,ESRRG,LIPF,CPA2,MT1M,PSCA,CHIA,PGC,SST,KCNJ16,CA9,ANXA10,MT1F,MUC5AC,TFF2,AKR1B10,AKR7A3,CCKBR,SOSTDC1,MT1H,MT1X,AZGP1,MT1G,CA2,ALDH3A1,MT1E,TFF1,MUC6,LTF,SULT1C2,REG1A,CHGA,CAPN9,PIK3C2G,CKB,MT1HL1,KLK11,ALDH1A1,HPGD,CLDN18,PBLD,DUOX1,MT2A,DGKD,GPER1,ADH1C,IGFBP2,GPRC5C,CTSE,TCN1,KIAA1324,UGT2B15,FMO5,APLP1,TMPRSS2,KRT20,ACSM3,DUOX2,ECI2,PTPRZ1,XYLT2,COL2A1,HOMER2,ALDH6A1,PXMP2,ADAM28,FOLR1,FBP2,module_score,eligible
P171012,171012N,Normal,74,0.0514413859393146,0.0148461122770568,0.0653551607518584,3.29632524864094,0.0874850105594946,0.0187337076341784,0.110059306428239,0,0.145829445606954,1.60418720986392,0.0148461122770568,0.479171656273507,0,0.111697976653641,0.115585572010762,0.412555849229968,0.0539051906482595,2.08708326075528,2.58889912109117,0.362325437971064,0.187184456232432,0,0.172506216410044,0.100739459733705,0.539430526462762,0.0429466737283243,0.773278080128335,0.976017204490868,0.347476237529034,0.59780650847667,3.12501293259698,0,0,0.485134551653991,0,0,0.0913726059166162,0.0577927860053811,0.200031647811065,0.00936685381708919,0.110106313550795,0.208466165774578,0.331038462149131,0.754432436582205,0.0523135275454135,0.0148461122770568,0.530823667307158,0.237861377161903,0,0.0616803813625027,0.135910942747786,0.115585572010762,0.596592125054952,0,0.0562011229025351,0,0.0187337076341784,0,0.203070582570257,0.16067555788401,0,0.329845827979011,0.0390590783712027,0,0.0148461122770568,0,0,0.0429466737283243,0.0390590783712027,0.227115676209734,0,0.0148461122770568,-0.233882460302947,TRUE
P171218,171218T,Tumor,20,1.12591311335564,0.75675922036171,0.470031511783601,1.68593313694,0.824535351991653,0.22821741104126,0,0.19944920539856,0.05493061542511,1.49493352174759,0.1589026927948,0.135402512550354,0,0,0.13862943649292,0.778943538665772,0.03465735912323,0.606996643543243,1.68506598472595,0.455248999595642,0.704138070344926,0,0,0.259647846221924,0.239374589920044,0,0.743539887666702,1.40262113809586,0.14451858997345,0.424439692497254,1.68579961061478,0,0,0.383893179893494,0,0,0,0.05493061542511,1.59236642122269,0,0.12424533367157,1.260376060009,0.383893179893494,0.26876392364502,0.204717230796814,0.12424533367157,0.94675612449646,0.06931471824646,0,0.10986123085022,0.244140100479126,0.195601153373718,0.12424533367157,0,0,0,0.08958797454834,0,0.06931471824646,0,0,0.201267582178116,0.449980974197388,0,0.03465735912323,0,0,0.23410656452179,0.342559248209,0.17917594909668,0,0,0.259458886421895,TRUE
P180116,180116N,Normal,34,0.0526988085578471,0.0677230919108671,0.0934721722322353,3.76446851562051,0.0796485367943259,0.0407733636743882,0.0646242534413056,0,0.353502007091747,1.90353400917614,0.0526988085578471,0.0526988085578471,0,0.0323121267206529,0.111960663514979,0.664332459954655,0.113858854069429,1.5240241744939,3.09525090806624,0.684021599152509,0.276489121072433,0,0.215329075560851,0.498679848278271,1.26082749927745,0.129248506882612,1.73211945856319,1.58197575456956,0.186944344464471,1.20003875914742,2.94160209683811,0,0,0.618803143501282,0,0,0.0611600455115824,0.166557662627276,0.263494042789235,0.0203866818371941,0.0730854903950412,0.307731614393347,0.587319573935341,1.29679419363246,0.0646242534413059,0.0407733636743882,1.29159178803949,0.134245535906624,0,0.190408552394194,0.135446183821734,0.0730854903950412,1.04593032949111,0,0.190408552394194,0,0.243107360952041,0,0.154632217743818,0.0677230919108671,0,0.604077465393965,0.0526988085578471,0,0,0,0,0.0203866818371941,0.0526988085578471,0.252638231305515,0.0203866818371941,0,0.126762496156527,TRUE
P180129,180129N,Normal,179,0.363091499445825,0.338165669467862,0.317861204706757,0.93471227544646,0.684294546116664,0.126749774597211,3.50079704529746,0.108116803888502,0.424885965592368,2.2457482355267,0.162581097480305,3.47943349657112,0,0.0348509756546447,0.67191467671421,0.787900567054749,0.491625661290558,0.840940514756315,1.35182156109943,0.290755769393964,0.660751471306359,0.109083263567706,0.0962259649564436,0.267806559967595,0.972961827363382,0.708852175227757,1.43624703444582,0.902210170330282,0.223880381557529,1.24485872577689,1.14948116134665,0.750481990462575,0.0232339837697631,0.317186774488268,0.155888101908082,0.00774466125658771,0.0658296206809955,0.326895545980784,0.69642167917177,0,0.357646134978566,0.702356126055371,0.281548643911351,0.927299012018982,0.178494064501544,0.0797117808677631,1.1674339917785,0.2362878735505,0.0548706347715922,0.448065801039754,1.06881702279245,0.340777706167552,0.578204135655025,0.024194040777963,0.300219181529637,0.0371161439565307,0.0819769491696492,0.0619572900527017,0.360866765070228,0.00387233062829386,0.0803697868432413,0.0418496511501973,0.253681814204381,0.0942519470300089,0.297296007252272,0.0154893225131754,0.120700255452588,0.200120885944899,0.248196015810833,0.314329397744973,0.150008643805648,0.158474405384597,0.994976232543176,TRUE
P180129,180129T,Tumor,117,0.00592433489285983,0.0236973395714393,0.0177730046785795,0.128889263185681,0.636403194859497,0.0390115232549162,4.97950820841341,0,0.564736231779441,1.48892865221725,0.596359587123252,5.15219430230622,0,0.00592433489285983,0.64298531642327,0.388566575498663,0.767919399799445,0.299192419418922,0.45426479058388,0.0424770371526735,0.399825561759819,0.0473946791428786,0.0296216744642992,0.381096518956698,1.220453167573,0.78288467725118,1.89407957619072,0.503344894474389,0.102727078983926,1.45120014899816,0.321927441491021,0.652719378471375,0.0473946791428786,0.125872807625013,0.595652286822979,0.00592433489285983,0.0271628534691966,0.351103709294246,0.242006860227667,0,0.219761648748675,0.382052557081239,0.150025229168754,0.861724294148959,0.161970427912525,0.134807574443328,1.53979423922351,0.280912207742023,0.0829406885000376,0.297098482775892,0.815229284457672,0.327861451695108,0.369856934262137,0.00592433489285983,0.377163340902736,0.112116927774544,0.125417725652711,0.107644720974132,0.341723507286137,0,0.122958904657609,0.00938984879061709,0.222220469743778,0.106192592881684,0.327406369722807,0.00592433489285983,0.134807574443328,0.142184037428636,0.131342060545571,0.373146216074626,0.118941779829498,0.180750125493759,0.814435355512089,TRUE
P180305,180305T,Tumor,233,0.0434530001341529,0.0493783060573201,0.0309350214291028,3.35589320567544,0.0623808868964854,0.0183547904051425,0.0920331570211911,0.0171201034676876,0.0899128530158507,2.32597056990529,0,0.263708733182097,0.00297488061143605,0.0136397161197253,0.0572567559107179,0.774912093841979,0.0555165622367368,2.39842061781576,2.28670247378779,0.447580474129051,0.124099744236009,0.0124050291822704,0.148073010178595,0.0907629385526601,0.382530995704586,0.0503492969300103,0.652955434864683,1.31898294856108,0.110303944272545,0.532786560672547,3.0094891817273,0.0354349684817597,0.0169581272059756,0.67940682351845,0.0116225332661248,0,0.0934608299844767,0.0751593552945511,0.0839736753267281,0,0.0900337583517313,0.197092151437195,0.615783592662075,1.19584709073341,0.0716789679465889,0.0213296710165785,0.500466057670986,0.169125692015554,0.00297488061143605,0.106371365903273,0.0852653683510973,0.0811091165174232,0.774757254788804,0,0.0580392518268635,0.0486091032560292,0.0768462332533153,0,0.17703932037681,0.121022095496051,0,0.426538988756008,0.0277849389759768,0.00297488061143605,0.0136397161197253,0,0.0059497612228721,0.0225643579540335,0.043320932613422,0.300535633840275,0.00297488061143605,0.0255392385654695,-0.224017106642027,TRUE
P180308,180308N,Normal,85,0.0427951307857738,0.0638746542089126,0.0581369708566105,3.56293525695801,0.111407330456902,0.0163093454697553,0,0.0258497013765222,0,1.97704255160163,0,0.791417548235725,0.00815467273487765,0.00815467273487765,0.070487818998449,0.399887226609623,0.0326186909395106,2.44993675175835,2.32407587696524,0.456025384454167,0.198350642709171,0.00815467273487765,0.0292341961580165,0.00815467273487765,0.177698972645928,0.0855576290803798,0.0958572612089269,1.31109276519102,0.233873569264132,0.480450278169969,3.52901368982652,0.188060687570011,0.0536982143626494,0.511992899109336,0.16138962577371,0,0.114165418288287,0.0910870832555435,0.110734877866857,0,0.0326186909395106,0.285609225665822,0.542099711474251,1.44144438154557,0.0652373818790212,0.0455435416277718,0.369598770141602,0.112166606678682,0.00815467273487765,0.334856013690724,0.184945532854866,0.0992417559904212,1.19387527774362,0.0244640182046329,0.168490039601046,0.107396428725299,0.131860446929932,0,0.196484700371238,0.124760034505059,0.00815467273487765,0.622040245112251,0.0433985822341021,0.0163093454697553,0.00815467273487765,0,0.0244640182046329,0.0489280364092659,0.064478105657241,0.0978560728185318,0.0326186909395106,0.0550838975345388,-0.0947099758640868,TRUE
P180308,180308T,Tumor,77,0,0,0,0,0,0,0,0,0.0142676923182104,0.577380805820614,0,0.721655196957774,0,0,0.129086060957475,0.0270057343817377,0.0180038229211584,0.122290629845161,1.16413888219115,0.659832756240647,0.46270159931926,0,0,0,0.0788107227969479,0.0540114687634753,0,0.818489172241905,0.107346107433369,0.0270057343817377,1.76840068922414,0.00900191146057922,0,0.0360076458423169,0.322478918286113,0,0,0.0180038229211584,0.354986667633057,0,0.353724798598847,0.0735449419393169,0.0180038229211584,0.263276570803159,0.0450095573028961,0,0.136192465757395,0.0270057343817377,0,0.0720152916846338,0.00900191146057922,0.13129254130574,0.551355363486649,0.107184775463946,0,0,0.00900191146057922,0.0450095573028961,0.15456214508453,0,0.00900191146057922,0.201101352642109,0.0180038229211584,0,0.0180038229211584,0,0.0450095573028961,0.0540114687634753,0.118554499242213,0.00900191146057922,0,0,-0.635998848654574,TRUE
P180608,180608T,Tumor,40,0,0,0,0,0,0,0,0.03465735912323,0,0,0,0,0,0,0.017328679561615,0,0,0,0,0.027465307712555,0.03465735912323,0,0,0,0.141574013233185,0.062122666835785,0,0.03465735912323,0,0,0.017328679561615,0,0,0,0,0,0,0,0,0,0.03465735912323,0,0,0,0,0,0.323383975028992,0,0,0.184192717075348,0,0.027465307712555,0.16903932094574,0.106916654109955,0,0,0,0,0.017328679561615,0,0,0,0,0,0,0,0,0,0.017328679561615,0,0,0,-0.965994547869169,TRUE
P180611,180611N,Normal,569,0,0.00365455456483972,0,1.14716766840125,0.11554437697667,0.00365455456483972,1.23341475178362,0,0.172659947080227,0.767793305100372,0.00121818485494657,2.15432132819834,0,0,0.320507942896945,0.655681134527304,0.115452784855043,1.62203483568973,2.6318724501112,0.5853576054682,0.227414350727531,0.0167559957252865,0.0872275330689335,0.0706150242649609,0.499847474961373,0.050658171541452,0.917160031456101,0.793413978050379,0.390197529524617,0.889561031740453,3.09940750443873,0.0978509235884896,0.101524897535153,0.197164745867148,0.693279956262853,0.00121818485494657,0.0467050247326467,0.0630470202132562,0.0752288687627219,0.00121818485494657,0.0754358688850604,0.255155842417363,0.0428434700454685,1.05061990766408,0.0182727728241986,0.00436714705348225,0.670214215984244,0.0778722385949536,0,0.538125358063643,0.536258636543328,0.059599465770755,0.601704714377861,0.00121818485494657,0.11382059975542,0.00121818485494657,0.0109636636945192,0.00365455456483972,0.163055569928644,0.00802170161832197,0.00243636970989315,0.0338105836945385,0.0214217350227343,0.00609092427473287,0.0257888820762165,0.00121818485494657,0.0146182182593589,0.0153308107480014,0.0826533858931128,0.12204930149608,0.0347083440354922,0.0350287685494851,-0.278261768697104,TRUE
