Patient,Tissue,epithelial_proportion
P171012,Normal,0.247491638795987
P171012,Tumor,0.00053248136315229
P171116,Normal,0
P171116,Tumor,0.00359527478171546
P171218,Normal,0.00488599348534202
P171218,Tumor,0.0102616726526424
P180116,Normal,0.133333333333333
P180116,Tumor,0.00872817955112219
P180118,Normal,0.000619578686493185
P180118,Tumor,0.00209302325581395
P180123,Normal,0.00183755972069092
P180123,Tumor,0
P180124,Normal,0.00136286201022147
P180124,Tumor,0.000976880494952784
P180129,Normal,0.223192019950125
P180129,Tumor,0.0729426433915212
P180308,Normal,0.175983436853002
P180308,Tumor,0.00707330516259416
P180608,Normal,0.00280898876404494
P180608,Tumor,0.0188146754468485
P180611,Normal,0.858220211161388
P180611,Tumor,0.011206328279499
P181019,Normal,0.000656783636704823
P181019,Tumor,0.0982142857142857
P181025,Normal,0.0231774125579435
P181025,Tumor,0.145853193517636
P181026,Normal,0.584158415841584
P181026,Tumor,0.212765957446809
P181217,Normal,0.507462686567164
P181217,Tumor,0.0266143106457243
P181227,Normal,0.0275689223057644
P181227,Tumor,0.109176155391829
P190103,Normal,0.184704184704185
P190103,Tumor,0.0419426048565121
P190118,Normal,0.759345794392523
P190118,Tumor,0.0444444444444444
P190123,Normal,0.232269503546099
P190123,Tumor,0.174406604747162
P190124,Normal,0.218093699515347
P190124,Tumor,0.138841567291312
