dataset,sample,pair_id,Tissue,module_score,gastric_lineage_deconv_score,broad_epithelial_deconv_score
GSE29272,GSM723464,TYB0001,Normal,1.23996474333817,0.444170318542757,0.771330557043165
GSE29272,GSM723465,TYB0001,Tumor,-0.562693123235339,-0.0428583123984931,0.166957853664314
GSE29272,GSM723466,TYB0002,Normal,0.348368724440534,2.37138666650658,1.22519770573474
GSE29272,GSM723467,TYB0002,Tumor,-0.687850412488821,-0.64672585583612,-2.22743585913129
GSE29272,GSM723468,TYB0003,Normal,0.485930350906315,2.36429596066792,1.49902742559993
GSE29272,GSM723469,TYB0003,Tumor,-0.170777775951663,0.354499655578061,1.11647292540957
GSE29272,GSM723470,TYB0004,Normal,1.38725802166287,0.566578042033296,0.10451876424583
GSE29272,GSM723471,TYB0004,Tumor,-0.692248958661064,-0.218431166040281,-0.375739170316835
GSE29272,GSM723472,TYB0005,Normal,1.30099593545523,0.39965636043689,-0.0956662320367442
GSE29272,GSM723473,TYB0005,Tumor,-0.563611734188543,0.4683411254214,1.05076694091093
GSE29272,GSM723474,TYB0006,Normal,1.15099258169007,0.614521667637956,0.491873254223289
GSE29272,GSM723475,TYB0006,Tumor,-0.601404941125555,0.241910325129324,0.483314870452456
GSE29272,GSM723476,TYB0007,Normal,1.35020633748713,0.590168156251502,0.0151529689368541
GSE29272,GSM723477,TYB0007,Tumor,-0.443884016338612,0.562169557927328,1.17149158045525
GSE29272,GSM723478,TYB0008,Normal,0.969157807728546,0.945968660503136,0.476468251637777
GSE29272,GSM723479,TYB0008,Tumor,-0.736135667341209,-0.150986811410877,-0.0822474397634366
GSE29272,GSM723480,TYB0009,Normal,1.09210232329709,0.807952242900324,0.620769806757734
GSE29272,GSM723481,TYB0009,Tumor,-0.682988710275837,-0.401607297361898,-2.61015352618393
GSE29272,GSM723482,TYB0010,Normal,1.15677518645287,0.444903326901906,0.268555711065814
GSE29272,GSM723483,TYB0010,Tumor,-0.427109596257032,0.090601329746239,1.09089248555881
GSE29272,GSM723484,TYB0011,Normal,1.23752148668701,0.556344633179937,-0.161676442702853
GSE29272,GSM723485,TYB0011,Tumor,-0.51603014954637,0.500131561809696,1.33603661417842
GSE29272,GSM723486,TYB0012,Normal,-0.601507437844192,-1.07692661811516,-2.34607906075756
GSE29272,GSM723487,TYB0012,Tumor,-0.614484279449667,-0.0725312609414737,-1.49096774979608
