donor,comparison,n_sections,mean_spearman_rho,median_spearman_rho
D01,Epithelial,2,0.365357813408801,0.365357813408801
D02,Epithelial,2,0.561096580690169,0.561096580690169
D03,Epithelial,2,0.336874789306489,0.336874789306489
D07,Epithelial,1,0.504996723124787,0.504996723124787
D09,Epithelial,2,-0.256398699829767,-0.256398699829767
D10,Epithelial,1,0.438587540080449,0.438587540080449
D11,Epithelial,2,0.408802252484823,0.408802252484823
D12,Epithelial,2,0.35263730634171,0.35263730634171
D15,Epithelial,2,0.141922964878969,0.141922964878969
D16,Epithelial,2,0.130605428267566,0.130605428267566
D18,Epithelial,1,-0.185260552621346,-0.185260552621346
D20,Epithelial,2,0.378380943734322,0.378380943734322
D21,Epithelial,2,0.214019473569348,0.214019473569348
D22,Epithelial,1,0.0538618007402729,0.0538618007402729
D23,Epithelial,1,0.3961410834662,0.3961410834662
D24,Epithelial,2,0.134719242835224,0.134719242835224
D26,Epithelial,3,0.458212672767036,0.422516570277901
D27,Epithelial,2,0.43252646401974,0.43252646401974
D28,Epithelial,1,0.504527156640514,0.504527156640514
D01,Gastric_differentiated,1,0.277351118953448,0.277351118953448
D02,Gastric_differentiated,2,0.158759780611641,0.158759780611641
D03,Gastric_differentiated,2,0.263444902687167,0.263444902687167
D07,Gastric_differentiated,1,0.1510949559966,0.1510949559966
D09,Gastric_differentiated,2,-0.0486074704329859,-0.0486074704329859
D10,Gastric_differentiated,1,-0.000477882137077822,-0.000477882137077822
D11,Gastric_differentiated,2,0.069301424503065,0.069301424503065
D15,Gastric_differentiated,2,0.0514125707193639,0.0514125707193639
D16,Gastric_differentiated,2,0.142063894582003,0.142063894582003
D18,Gastric_differentiated,1,0.631581448597951,0.631581448597951
D20,Gastric_differentiated,2,0.165412190312297,0.165412190312297
D21,Gastric_differentiated,2,0.107814790340591,0.107814790340591
D22,Gastric_differentiated,1,-0.000464743720257886,-0.000464743720257886
D23,Gastric_differentiated,1,0.179684342334182,0.179684342334182
D24,Gastric_differentiated,2,0.00419751101402427,0.00419751101402427
D26,Gastric_differentiated,3,0.127471338743845,0.0524751025989468
D27,Gastric_differentiated,2,0.343745205585863,0.343745205585863
D28,Gastric_differentiated,1,0.115336832376097,0.115336832376097
D01,Cancer_epithelial,2,0.33327182236132,0.33327182236132
D02,Cancer_epithelial,2,0.516470995274803,0.516470995274803
D03,Cancer_epithelial,2,0.316174807572859,0.316174807572859
D07,Cancer_epithelial,1,0.408546006278458,0.408546006278458
D09,Cancer_epithelial,2,-0.26851608534031,-0.26851608534031
D10,Cancer_epithelial,1,0.414534741605662,0.414534741605662
D11,Cancer_epithelial,2,0.314591611112563,0.314591611112563
D12,Cancer_epithelial,2,0.267374062092429,0.267374062092429
D15,Cancer_epithelial,2,0.107515200930548,0.107515200930548
D16,Cancer_epithelial,2,0.14757155477774,0.14757155477774
D18,Cancer_epithelial,1,-0.239568889512068,-0.239568889512068
D20,Cancer_epithelial,2,0.366592163123273,0.366592163123273
D21,Cancer_epithelial,2,0.158902286323131,0.158902286323131
D22,Cancer_epithelial,1,0.0262111414597989,0.0262111414597989
D23,Cancer_epithelial,1,0.333106664841767,0.333106664841767
D24,Cancer_epithelial,2,0.103563242234456,0.103563242234456
D26,Cancer_epithelial,3,0.421235619429516,0.387022329549248
D27,Cancer_epithelial,2,0.452047121123093,0.452047121123093
D28,Cancer_epithelial,1,0.492160245696841,0.492160245696841
D01,Intestinal_metaplasia,2,0.264444057521944,0.264444057521944
D02,Intestinal_metaplasia,2,0.447278834655438,0.447278834655438
D03,Intestinal_metaplasia,2,0.343268790359858,0.343268790359858
D07,Intestinal_metaplasia,1,0.174184171624889,0.174184171624889
D09,Intestinal_metaplasia,2,-0.113087298368057,-0.113087298368057
D10,Intestinal_metaplasia,1,0.363515479448748,0.363515479448748
D11,Intestinal_metaplasia,2,0.128732069767437,0.128732069767437
D12,Intestinal_metaplasia,2,0.0326297787233454,0.0326297787233454
D15,Intestinal_metaplasia,2,0.0861530032095756,0.0861530032095756
D16,Intestinal_metaplasia,2,0.249929570340458,0.249929570340458
D18,Intestinal_metaplasia,1,-0.103718630808248,-0.103718630808248
D20,Intestinal_metaplasia,2,0.252659489155755,0.252659489155755
D21,Intestinal_metaplasia,2,0.106968629684676,0.106968629684676
D22,Intestinal_metaplasia,1,0.0244035342758433,0.0244035342758433
D23,Intestinal_metaplasia,1,0.161280666152436,0.161280666152436
D24,Intestinal_metaplasia,2,0.146017711983042,0.146017711983042
D26,Intestinal_metaplasia,3,0.199784952004755,0.186016817268693
D27,Intestinal_metaplasia,2,0.332099192257901,0.332099192257901
D28,Intestinal_metaplasia,1,0.292678615763081,0.292678615763081
D01,Proliferative,2,0.210247112160397,0.210247112160397
D02,Proliferative,2,0.181135249192665,0.181135249192665
D03,Proliferative,2,0.094733904544743,0.094733904544743
D07,Proliferative,1,0.309847468012685,0.309847468012685
D09,Proliferative,2,-0.0710178797012908,-0.0710178797012908
D10,Proliferative,1,0.269974548321461,0.269974548321461
D11,Proliferative,2,0.317301593199147,0.317301593199147
D12,Proliferative,2,0.206723838067582,0.206723838067582
D15,Proliferative,2,0.0780709419484129,0.0780709419484129
D16,Proliferative,2,-0.00112488114529863,-0.00112488114529863
D18,Proliferative,1,-0.216707913330048,-0.216707913330048
D20,Proliferative,2,0.245470888857965,0.245470888857965
D21,Proliferative,2,-0.027701692844096,-0.027701692844096
D22,Proliferative,1,0.0609594351230416,0.0609594351230416
D23,Proliferative,1,0.122370527600908,0.122370527600908
D24,Proliferative,2,0.043864187571205,0.043864187571205
D26,Proliferative,3,0.202800893797113,0.232771747601561
D27,Proliferative,2,0.027178293494808,0.027178293494808
D28,Proliferative,1,0.267030662774542,0.267030662774542
