h5_path,file,gsm,sample_id,donor,technical_replication,primary_section,section_label
raw_data/GSE270678/extracted/GSM8349861_D01T2_filtered_feature_bc_matrix.h5,GSM8349861_D01T2_filtered_feature_bc_matrix.h5,GSM8349861,GSM8349861_D01T2,D01,FALSE,TRUE,D01T2
raw_data/GSE270678/extracted/GSM8349862_D01T3_filtered_feature_bc_matrix.h5,GSM8349862_D01T3_filtered_feature_bc_matrix.h5,GSM8349862,GSM8349862_D01T3,D01,FALSE,TRUE,D01T3
raw_data/GSE270678/extracted/GSM8349863_D02T1_filtered_feature_bc_matrix.h5,GSM8349863_D02T1_filtered_feature_bc_matrix.h5,GSM8349863,GSM8349863_D02T1,D02,FALSE,TRUE,D02T1
raw_data/GSE270678/extracted/GSM8349864_D02T2_filtered_feature_bc_matrix.h5,GSM8349864_D02T2_filtered_feature_bc_matrix.h5,GSM8349864,GSM8349864_D02T2,D02,FALSE,TRUE,D02T2
raw_data/GSE270678/extracted/GSM8349865_D03T2_filtered_feature_bc_matrix.h5,GSM8349865_D03T2_filtered_feature_bc_matrix.h5,GSM8349865,GSM8349865_D03T2,D03,FALSE,TRUE,D03T2
raw_data/GSE270678/extracted/GSM8349866_D03T3_filtered_feature_bc_matrix.h5,GSM8349866_D03T3_filtered_feature_bc_matrix.h5,GSM8349866,GSM8349866_D03T3,D03,FALSE,TRUE,D03T3
raw_data/GSE270678/extracted/GSM8349867_D07T2_filtered_feature_bc_matrix.h5,GSM8349867_D07T2_filtered_feature_bc_matrix.h5,GSM8349867,GSM8349867_D07T2,D07,FALSE,TRUE,D07T2
raw_data/GSE270678/extracted/GSM8349868_D09T2_filtered_feature_bc_matrix.h5,GSM8349868_D09T2_filtered_feature_bc_matrix.h5,GSM8349868,GSM8349868_D09T2,D09,FALSE,TRUE,D09T2
raw_data/GSE270678/extracted/GSM8349869_D09T3_filtered_feature_bc_matrix.h5,GSM8349869_D09T3_filtered_feature_bc_matrix.h5,GSM8349869,GSM8349869_D09T3,D09,FALSE,TRUE,D09T3
raw_data/GSE270678/extracted/GSM8349870_D10T2_filtered_feature_bc_matrix.h5,GSM8349870_D10T2_filtered_feature_bc_matrix.h5,GSM8349870,GSM8349870_D10T2,D10,FALSE,TRUE,D10T2
raw_data/GSE270678/extracted/GSM8349871_D11T1_filtered_feature_bc_matrix.h5,GSM8349871_D11T1_filtered_feature_bc_matrix.h5,GSM8349871,GSM8349871_D11T1,D11,FALSE,TRUE,D11T1
raw_data/GSE270678/extracted/GSM8349872_D11T2_filtered_feature_bc_matrix.h5,GSM8349872_D11T2_filtered_feature_bc_matrix.h5,GSM8349872,GSM8349872_D11T2,D11,FALSE,TRUE,D11T2
raw_data/GSE270678/extracted/GSM8349873_D12T1_filtered_feature_bc_matrix.h5,GSM8349873_D12T1_filtered_feature_bc_matrix.h5,GSM8349873,GSM8349873_D12T1,D12,FALSE,TRUE,D12T1
raw_data/GSE270678/extracted/GSM8349874_D12T2_filtered_feature_bc_matrix.h5,GSM8349874_D12T2_filtered_feature_bc_matrix.h5,GSM8349874,GSM8349874_D12T2,D12,FALSE,TRUE,D12T2
raw_data/GSE270678/extracted/GSM8349875_D15T2_filtered_feature_bc_matrix.h5,GSM8349875_D15T2_filtered_feature_bc_matrix.h5,GSM8349875,GSM8349875_D15T2,D15,FALSE,TRUE,D15T2
raw_data/GSE270678/extracted/GSM8349876_D15T3_filtered_feature_bc_matrix.h5,GSM8349876_D15T3_filtered_feature_bc_matrix.h5,GSM8349876,GSM8349876_D15T3,D15,FALSE,TRUE,D15T3
raw_data/GSE270678/extracted/GSM8349877_D16T1_filtered_feature_bc_matrix.h5,GSM8349877_D16T1_filtered_feature_bc_matrix.h5,GSM8349877,GSM8349877_D16T1,D16,FALSE,TRUE,D16T1
raw_data/GSE270678/extracted/GSM8349878_D16T2_filtered_feature_bc_matrix.h5,GSM8349878_D16T2_filtered_feature_bc_matrix.h5,GSM8349878,GSM8349878_D16T2,D16,FALSE,TRUE,D16T2
raw_data/GSE270678/extracted/GSM8349879_D18T2_filtered_feature_bc_matrix.h5,GSM8349879_D18T2_filtered_feature_bc_matrix.h5,GSM8349879,GSM8349879_D18T2,D18,FALSE,TRUE,D18T2
raw_data/GSE270678/extracted/GSM8349880_D20T1_filtered_feature_bc_matrix.h5,GSM8349880_D20T1_filtered_feature_bc_matrix.h5,GSM8349880,GSM8349880_D20T1,D20,FALSE,TRUE,D20T1
raw_data/GSE270678/extracted/GSM8349881_D20T2_filtered_feature_bc_matrix.h5,GSM8349881_D20T2_filtered_feature_bc_matrix.h5,GSM8349881,GSM8349881_D20T2,D20,FALSE,TRUE,D20T2
raw_data/GSE270678/extracted/GSM8349882_D21T2_filtered_feature_bc_matrix.h5,GSM8349882_D21T2_filtered_feature_bc_matrix.h5,GSM8349882,GSM8349882_D21T2,D21,FALSE,TRUE,D21T2
raw_data/GSE270678/extracted/GSM8349883_D21T3_filtered_feature_bc_matrix.h5,GSM8349883_D21T3_filtered_feature_bc_matrix.h5,GSM8349883,GSM8349883_D21T3,D21,FALSE,TRUE,D21T3
raw_data/GSE270678/extracted/GSM8349884_D22T2_filtered_feature_bc_matrix.h5,GSM8349884_D22T2_filtered_feature_bc_matrix.h5,GSM8349884,GSM8349884_D22T2,D22,FALSE,TRUE,D22T2
raw_data/GSE270678/extracted/GSM8349885_D23T2_filtered_feature_bc_matrix.h5,GSM8349885_D23T2_filtered_feature_bc_matrix.h5,GSM8349885,GSM8349885_D23T2,D23,FALSE,TRUE,D23T2
raw_data/GSE270678/extracted/GSM8349886_D24T2_filtered_feature_bc_matrix.h5,GSM8349886_D24T2_filtered_feature_bc_matrix.h5,GSM8349886,GSM8349886_D24T2,D24,FALSE,TRUE,D24T2
raw_data/GSE270678/extracted/GSM8349887_D24T3_filtered_feature_bc_matrix.h5,GSM8349887_D24T3_filtered_feature_bc_matrix.h5,GSM8349887,GSM8349887_D24T3,D24,FALSE,TRUE,D24T3
raw_data/GSE270678/extracted/GSM8349888_D26T1_filtered_feature_bc_matrix.h5,GSM8349888_D26T1_filtered_feature_bc_matrix.h5,GSM8349888,GSM8349888_D26T1,D26,FALSE,TRUE,D26T1
raw_data/GSE270678/extracted/GSM8349889_D26T2_filtered_feature_bc_matrix.h5,GSM8349889_D26T2_filtered_feature_bc_matrix.h5,GSM8349889,GSM8349889_D26T2,D26,FALSE,TRUE,D26T2
raw_data/GSE270678/extracted/GSM8349890_D26T3_filtered_feature_bc_matrix.h5,GSM8349890_D26T3_filtered_feature_bc_matrix.h5,GSM8349890,GSM8349890_D26T3,D26,FALSE,TRUE,D26T3
raw_data/GSE270678/extracted/GSM8349891_D27T1_filtered_feature_bc_matrix.h5,GSM8349891_D27T1_filtered_feature_bc_matrix.h5,GSM8349891,GSM8349891_D27T1,D27,FALSE,TRUE,D27T1
raw_data/GSE270678/extracted/GSM8349892_D27T3_filtered_feature_bc_matrix.h5,GSM8349892_D27T3_filtered_feature_bc_matrix.h5,GSM8349892,GSM8349892_D27T3,D27,FALSE,TRUE,D27T3
raw_data/GSE270678/extracted/GSM8349893_D28T2_filtered_feature_bc_matrix.h5,GSM8349893_D28T2_filtered_feature_bc_matrix.h5,GSM8349893,GSM8349893_D28T2,D28,FALSE,TRUE,D28T2
raw_data/GSE270678/extracted/GSM8349894_D01T2_2_filtered_feature_bc_matrix.h5,GSM8349894_D01T2_2_filtered_feature_bc_matrix.h5,GSM8349894,GSM8349894_D01T2_2,D01,TRUE,FALSE,D01T2_2
raw_data/GSE270678/extracted/GSM8349895_D01T3_2_filtered_feature_bc_matrix.h5,GSM8349895_D01T3_2_filtered_feature_bc_matrix.h5,GSM8349895,GSM8349895_D01T3_2,D01,TRUE,FALSE,D01T3_2
raw_data/GSE270678/extracted/GSM8349896_D03T2_2_filtered_feature_bc_matrix.h5,GSM8349896_D03T2_2_filtered_feature_bc_matrix.h5,GSM8349896,GSM8349896_D03T2_2,D03,TRUE,FALSE,D03T2_2
raw_data/GSE270678/extracted/GSM8349897_D03T3_2_filtered_feature_bc_matrix.h5,GSM8349897_D03T3_2_filtered_feature_bc_matrix.h5,GSM8349897,GSM8349897_D03T3_2,D03,TRUE,FALSE,D03T3_2
raw_data/GSE270678/extracted/GSM8349898_D07T3_1_filtered_feature_bc_matrix.h5,GSM8349898_D07T3_1_filtered_feature_bc_matrix.h5,GSM8349898,GSM8349898_D07T3_1,D07,TRUE,FALSE,D07T3_1
raw_data/GSE270678/extracted/GSM8349899_D10T1_2_filtered_feature_bc_matrix.h5,GSM8349899_D10T1_2_filtered_feature_bc_matrix.h5,GSM8349899,GSM8349899_D10T1_2,D10,TRUE,FALSE,D10T1_2
raw_data/GSE270678/extracted/GSM8349900_D10T2_2_filtered_feature_bc_matrix.h5,GSM8349900_D10T2_2_filtered_feature_bc_matrix.h5,GSM8349900,GSM8349900_D10T2_2,D10,TRUE,FALSE,D10T2_2
raw_data/GSE270678/extracted/GSM8349901_D11T1_2_filtered_feature_bc_matrix.h5,GSM8349901_D11T1_2_filtered_feature_bc_matrix.h5,GSM8349901,GSM8349901_D11T1_2,D11,TRUE,FALSE,D11T1_2
raw_data/GSE270678/extracted/GSM8349902_D11T1_3_filtered_feature_bc_matrix.h5,GSM8349902_D11T1_3_filtered_feature_bc_matrix.h5,GSM8349902,GSM8349902_D11T1_3,D11,TRUE,FALSE,D11T1_3
