section,signature,genes_requested,genes_present,genes_present_names
GSM8349861_D01T2,Candidate_73,73,71,ATP4B;ATP4A;GKN1;KCNE2;ESRRG;LIPF;CPA2;MT1M;PSCA;CHIA;PGC;SST;KCNJ16;CA9;ANXA10;MT1F;MUC5AC;TFF2;AKR1B10;AKR7A3;CCKBR;SOSTDC1;MT1H;MT1X;AZGP1;MT1G;CA2;ALDH3A1;MT1E;TFF1;MUC6;LTF;SULT1C2;REG1A;CHGA;CAPN9;PIK3C2G;CKB;MT1HL1;KLK11;ALDH1A1;HPGD;CLDN18;PBLD;DUOX1;MT2A;DGKD;GPER1;ADH1C;IGFBP2;GPRC5C;CTSE;TCN1;KIAA1324;UGT2B15;FMO5;APLP1;TMPRSS2;KRT20;ACSM3;DUOX2;ECI2;PTPRZ1;XYLT2;COL2A1;HOMER2;ALDH6A1;PXMP2;ADAM28;FOLR1;FBP2
GSM8349861_D01T2,Epithelial,8,8,EPCAM;KRT8;KRT18;KRT19;KRT7;TACSTD2;CLDN4;CLDN7
GSM8349861_D01T2,Gastric_differentiated,6,6,GKN2;PGA3;PGA4;PGA5;VSIG1;CAPN8
GSM8349861_D01T2,Cancer_epithelial,9,9,CEACAM5;CEACAM6;KRT17;KRT23;TACSTD2;CLDN4;CLDN7;EPCAM;KRT19
GSM8349861_D01T2,Intestinal_metaplasia,6,6,FABP1;APOA1;APOA4;ALPI;MUC13;TFF3
GSM8349861_D01T2,Proliferative,5,5,MKI67;TOP2A;STMN1;HMGB2;TUBA1B
GSM8349861_D01T2,Stromal,8,8,COL1A1;COL1A2;COL3A1;DCN;COL6A1;COL6A2;SPARC;VIM
GSM8349861_D01T2,Immune,9,9,PTPRC;LST1;TYROBP;FCER1G;CD3D;CD3E;MS4A1;CD79A;NKG7
GSM8349862_D01T3,Candidate_73,73,71,ATP4B;ATP4A;GKN1;KCNE2;ESRRG;LIPF;CPA2;MT1M;PSCA;CHIA;PGC;SST;KCNJ16;CA9;ANXA10;MT1F;MUC5AC;TFF2;AKR1B10;AKR7A3;CCKBR;SOSTDC1;MT1H;MT1X;AZGP1;MT1G;CA2;ALDH3A1;MT1E;TFF1;MUC6;LTF;SULT1C2;REG1A;CHGA;CAPN9;PIK3C2G;CKB;MT1HL1;KLK11;ALDH1A1;HPGD;CLDN18;PBLD;DUOX1;MT2A;DGKD;GPER1;ADH1C;IGFBP2;GPRC5C;CTSE;TCN1;KIAA1324;UGT2B15;FMO5;APLP1;TMPRSS2;KRT20;ACSM3;DUOX2;ECI2;PTPRZ1;XYLT2;COL2A1;HOMER2;ALDH6A1;PXMP2;ADAM28;FOLR1;FBP2
GSM8349862_D01T3,Epithelial,8,8,EPCAM;KRT8;KRT18;KRT19;KRT7;TACSTD2;CLDN4;CLDN7
GSM8349862_D01T3,Gastric_differentiated,6,6,GKN2;PGA3;PGA4;PGA5;VSIG1;CAPN8
GSM8349862_D01T3,Cancer_epithelial,9,9,CEACAM5;CEACAM6;KRT17;KRT23;TACSTD2;CLDN4;CLDN7;EPCAM;KRT19
GSM8349862_D01T3,Intestinal_metaplasia,6,6,FABP1;APOA1;APOA4;ALPI;MUC13;TFF3
GSM8349862_D01T3,Proliferative,5,5,MKI67;TOP2A;STMN1;HMGB2;TUBA1B
GSM8349862_D01T3,Stromal,8,8,COL1A1;COL1A2;COL3A1;DCN;COL6A1;COL6A2;SPARC;VIM
GSM8349862_D01T3,Immune,9,9,PTPRC;LST1;TYROBP;FCER1G;CD3D;CD3E;MS4A1;CD79A;NKG7
GSM8349863_D02T1,Candidate_73,73,71,ATP4B;ATP4A;GKN1;KCNE2;ESRRG;LIPF;CPA2;MT1M;PSCA;CHIA;PGC;SST;KCNJ16;CA9;ANXA10;MT1F;MUC5AC;TFF2;AKR1B10;AKR7A3;CCKBR;SOSTDC1;MT1H;MT1X;AZGP1;MT1G;CA2;ALDH3A1;MT1E;TFF1;MUC6;LTF;SULT1C2;REG1A;CHGA;CAPN9;PIK3C2G;CKB;MT1HL1;KLK11;ALDH1A1;HPGD;CLDN18;PBLD;DUOX1;MT2A;DGKD;GPER1;ADH1C;IGFBP2;GPRC5C;CTSE;TCN1;KIAA1324;UGT2B15;FMO5;APLP1;TMPRSS2;KRT20;ACSM3;DUOX2;ECI2;PTPRZ1;XYLT2;COL2A1;HOMER2;ALDH6A1;PXMP2;ADAM28;FOLR1;FBP2
GSM8349863_D02T1,Epithelial,8,8,EPCAM;KRT8;KRT18;KRT19;KRT7;TACSTD2;CLDN4;CLDN7
GSM8349863_D02T1,Gastric_differentiated,6,6,GKN2;PGA3;PGA4;PGA5;VSIG1;CAPN8
GSM8349863_D02T1,Cancer_epithelial,9,9,CEACAM5;CEACAM6;KRT17;KRT23;TACSTD2;CLDN4;CLDN7;EPCAM;KRT19
