gene,log2FoldChange,meanExpression,t,PValue,padj,standard_t,standard_PValue,standard_padj,B,direction
ATP4B,-6.05370708971642,9.12897492619403,-25.9283648349032,4.56849539740257e-55,5.15920185228672e-51,-31.0589282756819,5.67697446072479e-64,6.4110072584965e-60,135.262406113978,Down
GIF,-5.62094905523881,9.81901086941045,-25.0472694213196,2.315100835364e-53,1.30722168668828e-49,-30.4676428385343,5.70653234196666e-63,3.22219348689147e-59,132.984599006771,Down
ATP4A,-5.2128387901791,9.19630990102985,-24.052639068099,2.16776299200347e-51,8.16018248956505e-48,-29.7620051905744,9.36640619503924e-62,3.52582750535261e-58,130.22103634743,Down
GKN1,-5.68463261637313,10.4998298908209,-20.9181180477317,7.74468434115428e-45,2.18651800661638e-41,-25.383381337455,1.02498817488983e-53,1.28075544888553e-50,111.895119428844,Down
KCNE2,-3.3772953043806,8.85503013576493,-19.8377631841114,1.86650583345435e-42,4.21569007544e-39,-28.1824409141169,5.88741324590981e-59,1.66216394465149e-55,123.850096886905,Down
ESRRG,-3.26082000163433,7.09810420408955,-18.2695033326954,6.95932952096937e-39,1.30986180467178e-35,-26.3504223441552,1.43784018521458e-55,2.70625486860472e-52,116.125284756554,Down
LIPF,-5.06313939464179,11.2752557779328,-17.8047536954475,8.44363089232444e-38,1.36219890952886e-34,-22.1867726138551,2.98067809735447e-47,1.42247701827044e-44,97.1165919552061,Down
CPA2,-2.74072608016418,8.31139349879105,-16.7431115571125,2.78683441203562e-35,3.93396512688978e-32,-26.3615757990761,1.36963548162109e-55,2.70625486860472e-52,116.173446821046,Down
MT1M,-3.20131086202239,8.53089063923508,-16.180755338582,6.34279118281716e-34,7.9587934252838e-31,-23.5312643547036,4.90684930979041e-50,4.26254225042024e-47,103.484891474566,Down
PSCA,-3.40120344449254,7.89969909775373,-15.2623616411581,1.12418479021211e-31,1.26954188358654e-28,-21.618491804208,4.78599420057635e-46,1.74349137119705e-43,94.3565695916837,Down
CHIA,-3.96375346445522,8.75415407514552,-15.0817653096378,3.14352646678303e-31,3.22725858085279e-28,-20.1705034555449,6.78554854640702e-43,1.50253332812891e-40,87.1377489226517,Down
SULF1,2.31195706978856,8.14564767292164,14.8113393371054,1.47459803417027e-30,1.38771963332374e-27,26.1008393353732,4.28125268775704e-55,6.04352332535503e-52,115.043841131175,Up
PGC,-3.97569993314179,12.1542113130485,-14.3678618916147,1.8869431697549e-29,1.63917301661863e-26,-19.1962593155595,1.03944000743724e-40,1.52446701350504e-38,82.1295115248064,Down
SST,-2.77953728,7.92276824293284,-14.0406131567912,1.25127613380015e-28,1.00933295564322e-25,-21.9306491310818,1.03642890372043e-46,4.18013986061245e-44,95.8777216754666,Down
COL1A2,2.3058125317388,10.9885418858918,13.9183944370787,2.54180137511003e-28,1.91363752860783e-25,24.5771943021291,3.89977318517377e-52,4.0036489618334e-49,108.284961367378,Up
KCNJ16,-2.81102438189552,6.88387924473881,-13.4458544082376,3.97722269222889e-27,2.80717349145881e-24,-20.8703013359838,1.96837580631149e-44,5.42167511723796e-42,90.6600552447497,Down
TIMP1,2.10994419694776,11.1561028927948,13.3411137963192,7.33180428837293e-27,4.87047446050562e-24,25.3607394973282,1.13411445044322e-53,1.28075544888553e-50,111.794775582069,Up
CA9,-2.29022040755224,8.77223147674627,-12.753888798207,2.28806135458297e-25,1.43550427096142e-22,-22.6389353557972,3.3686155641117e-48,1.90208877827567e-45,99.2835055180454,Down
ANXA10,-3.36141894991791,9.5222881779291,-12.2730782908794,3.87238718581794e-24,2.30162465733905e-21,-17.4704102981059,1.03380925885075e-36,7.3990068557085e-35,72.9626173867023,Down
MT1F,-2.22903137728731,11.0081573121063,-12.0814890535755,1.1978075802547e-23,6.76342050190817e-21,-21.9115790552168,1.13757240350472e-46,4.42986384578581e-44,95.7851473990504,Down
MUC5AC,-2.76019485897263,9.8600788184092,-11.9670299969712,2.35252831073134e-23,1.26510010538519e-20,-18.7657261390312,9.97762938428511e-40,1.34139724567538e-37,79.8777022531363,Down
THBS2,2.16379382279104,9.06569988504478,11.8383462061665,5.02606016880241e-23,2.57996806755844e-20,22.0105485106739,7.01973559663133e-47,3.04899515741376e-44,96.2650862665411,Up
SPP1,2.64009515620896,7.21630744981343,11.6130562536019,1.89937505451782e-22,9.32593151768252e-20,18.6937772774023,1.45934030548453e-39,1.87276478066327e-37,79.4990983808196,Up
TFF2,-3.27920375512687,10.8487238809291,-11.429484683946,5.61211160351417e-22,2.64073234743689e-19,-16.4441678417096,2.92194149392616e-34,1.40414831025141e-32,67.3396077634894,Down
AKR1B10,-3.40401494401493,9.28026377159702,-10.9691932109667,8.47784715709615e-21,3.82961311780347e-18,-15.5320571974306,4.87069491084365e-32,1.59897551244644e-30,62.2418690120107,Down
AKR7A3,-1.89758469587313,9.9149031858694,-10.6932175768492,4.30730183881259e-20,1.87085998714272e-17,-22.60654188598,3.93478863924955e-48,2.11597943347834e-45,99.1291197176423,Down
