gene,gene_key,DEG_log2FoldChange,DEG_meanExpression,DEG_t,DEG_PValue,DEG_padj,DEG_standard_t,DEG_standard_PValue,DEG_standard_padj,DEG_B,DEG_direction,WGCNA_module,WGCNA_module_color,WGCNA_MAD,WGCNA_MM,WGCNA_MM_pvalue,WGCNA_GS,WGCNA_GS_pvalue,WGCNA_hub_candidate,WGCNA_log2FoldChange,WGCNA_PValue,WGCNA_padj
"ATP4B","ATP4B",-6.05370708971642,9.12897492619403,-25.9283648349032,4.56849539740257e-55,5.15920185228672e-51,-31.0589282756819,5.67697446072479e-64,6.4110072584965e-60,135.262406113978,"Down","M04","#9A86A4",4.8895406470197,0.8993236955423,9.50767015277834e-96,-0.868353055369228,1.83008108042571e-81,TRUE,-6.05370708971642,4.56849539740257e-55,5.15920185228672e-51
"GIF","GIF",-5.62094905523881,9.81901086941045,-25.0472694213196,2.315100835364e-53,1.30722168668828e-49,-30.4676428385343,5.70653234196666e-63,3.22219348689147e-59,132.984599006771,"Down","M04","#9A86A4",4.798680892992,0.883302377790452,7.50394368901732e-88,-0.854077226096639,4.67561003176389e-76,TRUE,-5.62094905523881,2.315100835364e-53,1.30722168668828e-49
"ATP4A","ATP4A",-5.2128387901791,9.19630990102985,-24.052639068099,2.16776299200347e-51,8.16018248956505e-48,-29.7620051905744,9.36640619503924e-62,3.52582750535261e-58,130.22103634743,"Down","M04","#9A86A4",3.0559692101631,0.885122084690978,1.0924885933688e-88,-0.862595949846666,3.28287130201125e-79,TRUE,-5.2128387901791,2.16776299200347e-51,8.16018248956505e-48
"GKN1","GKN1",-5.68463261637313,10.4998298908209,-20.9181180477317,7.74468434115428e-45,2.18651800661638e-41,-25.383381337455,1.02498817488983e-53,1.28075544888553e-50,111.895119428844,"Down","M04","#9A86A4",3.336417101913,0.720038594882757,2.62042664089128e-43,-0.827418947088788,2.35612030661288e-67,FALSE,-5.68463261637313,7.74468434115428e-45,2.18651800661638e-41
"KCNE2","KCNE2",-3.3772953043806,8.85503013576493,-19.8377631841114,1.86650583345435e-42,4.21569007544e-39,-28.1824409141169,5.88741324590981e-59,1.66216394465149e-55,123.850096886905,"Down","M04","#9A86A4",2.7478214607984,0.951663872186514,8.12608070349349e-136,-0.815688799879332,5.4986697314537e-64,TRUE,-3.3772953043806,1.86650583345435e-42,4.21569007544e-39
"ESRRG","ESRRG",-3.26082000163433,7.09810420408955,-18.2695033326954,6.95932952096937e-39,1.30986180467178e-35,-26.3504223441552,1.43784018521458e-55,2.70625486860472e-52,116.125284756554,"Down","M04","#9A86A4",2.00466359361135,0.910768738004973,2.975710216864e-102,-0.823485638657596,3.38313831841066e-66,TRUE,-3.26082000163433,6.95932952096937e-39,1.30986180467178e-35
"LIPF","LIPF",-5.06313939464179,11.2752557779328,-17.8047536954475,8.44363089232444e-38,1.36219890952886e-34,-22.1867726138551,2.98067809735447e-47,1.42247701827044e-44,97.1165919552061,"Down","M04","#9A86A4",1.665320939121,0.626728157417049,4.1639548109233e-30,-0.783395583325219,7.77313468315095e-56,FALSE,-5.06313939464179,8.44363089232444e-38,1.36219890952886e-34
"CPA2","CPA2",-2.74072608016418,8.31139349879105,-16.7431115571125,2.78683441203562e-35,3.93396512688978e-32,-26.3615757990761,1.36963548162109e-55,2.70625486860472e-52,116.173446821046,"Down","M04","#9A86A4",1.8450272728209,0.921494534806286,3.37103735186418e-109,-0.808157359312224,6.00486991220182e-62,TRUE,-2.74072608016418,2.78683441203562e-35,3.93396512688978e-32
"MT1M","MT1M",-3.20131086202239,8.53089063923508,-16.180755338582,6.34279118281716e-34,7.9587934252838e-31,-23.5312643547036,4.90684930979041e-50,4.26254225042024e-47,103.484891474566,"Down","M04","#9A86A4",2.770445982759,0.798526653384493,1.80730083877222e-59,-0.801395292445308,3.41235535834475e-60,FALSE,-3.20131086202239,6.34279118281716e-34,7.9587934252838e-31
"PSCA","PSCA",-3.40120344449254,7.89969909775373,-15.2623616411581,1.12418479021211e-31,1.26954188358654e-28,-21.618491804208,4.78599420057635e-46,1.74349137119705e-43,94.3565695916837,"Down","M04","#9A86A4",3.196670806392,0.768958404923437,1.24418285270367e-52,-0.771906505045673,2.88259905318739e-53,FALSE,-3.40120344449254,1.12418479021211e-31,1.26954188358654e-28
"CHIA","CHIA",-3.96375346445522,8.75415407514552,-15.0817653096378,3.14352646678303e-31,3.22725858085279e-28,-20.1705034555449,6.78554854640702e-43,1.50253332812891e-40,87.1377489226517,"Down","M04","#9A86A4",1.484558877837,0.790273494551595,1.88876035740874e-57,-0.7630152338375,2.22293110838547e-51,FALSE,-3.96375346445522,3.14352646678303e-31,3.22725858085279e-28
"PGC","PGC",-3.97569993314179,12.1542113130485,-14.3678618916147,1.8869431697549e-29,1.63917301661863e-26,-19.1962593155595,1.03944000743724e-40,1.52446701350504e-38,82.1295115248064,"Down","M04","#9A86A4",1.443239868483,0.649711159254775,6.27503709169614e-33,-0.755236966087146,8.5316353519844e-50,FALSE,-3.97569993314179,1.8869431697549e-29,1.63917301661863e-26
"SST","SST",-2.77953728,7.92276824293284,-14.0406131567912,1.25127613380015e-28,1.00933295564322e-25,-21.9306491310818,1.03642890372043e-46,4.18013986061245e-44,95.8777216754666,"Down","M04","#9A86A4",2.2465370781,0.868621465855092,1.42826035347967e-81,-0.770426830872717,6.02189272089003e-53,TRUE,-2.77953728,1.25127613380015e-28,1.00933295564322e-25
"KCNJ16","KCNJ16",-2.81102438189552,6.88387924473881,-13.4458544082376,3.97722269222889e-27,2.80717349145881e-24,-20.8703013359838,1.96837580631149e-44,5.42167511723796e-42,90.6600552447497,"Down","M04","#9A86A4",1.0927089669426,0.864889751699564,4.2731526220814e-80,-0.779063470055184,7.541604057762e-55,TRUE,-2.81102438189552,3.97722269222889e-27,2.80717349145881e-24
"CA9","CA9",-2.29022040755224,8.77223147674627,-12.753888798207,2.28806135458297e-25,1.43550427096142e-22,-22.6389353557972,3.3686155641117e-48,1.90208877827567e-45,99.2835055180454,"Down","M04","#9A86A4",2.0405850156762,0.914777654814712,9.66586892968915e-105,-0.79445815933304,1.83634796377598e-58,TRUE,-2.29022040755224,2.28806135458297e-25,1.43550427096142e-22
"ANXA10","ANXA10",-3.36141894991791,9.5222881779291,-12.2730782908794,3.87238718581794e-24,2.30162465733905e-21,-17.4704102981059,1.03380925885075e-36,7.3990068557085e-35,72.9626173867023,"Down","M04","#9A86A4",2.7453941718,0.788631279101729,4.64635898512338e-57,-0.699358338967091,6.08694923568889e-40,FALSE,-3.36141894991791,3.87238718581794e-24,2.30162465733905e-21
"MT1F","MT1F",-2.22903137728731,11.0081573121063,-12.0814890535755,1.1978075802547e-23,6.76342050190817e-21,-21.9115790552168,1.13757240350472e-46,4.42986384578581e-44,95.7851473990504,"Down","M04","#9A86A4",1.8345870200805,0.887425015121206,9.0947773300129e-90,-0.77241876416933,2.23077506787951e-53,TRUE,-2.22903137728731,1.1978075802547e-23,6.76342050190817e-21
"MUC5AC","MUC5AC",-2.76019485897263,9.8600788184092,-11.9670299969712,2.35252831073134e-23,1.26510010538519e-20,-18.7657261390312,9.97762938428511e-40,1.34139724567538e-37,79.8777022531363,"Down","M04","#9A86A4",2.82473277144935,0.8064763468552,1.66393177283341e-61,-0.712383750987002,5.00029936436366e-42,TRUE,-2.76019485897263,2.35252831073134e-23,1.26510010538519e-20
"TFF2","TFF2",-3.27920375512687,10.8487238809291,-11.429484683946,5.61211160351417e-22,2.64073234743689e-19,-16.4441678417096,2.92194149392616e-34,1.40414831025141e-32,67.3396077634894,"Down","M04","#9A86A4",2.6360197838436,0.750521685499579,7.28967563756178e-49,-0.707383363616729,3.25940409528302e-41,FALSE,-3.27920375512687,5.61211160351417e-22,2.64073234743689e-19
"AKR1B10","AKR1B10",-3.40401494401493,9.28026377159702,-10.9691932109667,8.47784715709615e-21,3.82961311780347e-18,-15.5320571974306,4.87069491084365e-32,1.59897551244644e-30,62.2418690120107,"Down","M04","#9A86A4",3.0773017070103,0.737043538503514,2.5969999635531e-46,-0.686801943653565,4.90674120910878e-38,FALSE,-3.40401494401493,8.47784715709615e-21,3.82961311780347e-18
"AKR7A3","AKR7A3",-1.89758469587313,9.9149031858694,-10.6932175768492,4.30730183881259e-20,1.87085998714272e-17,-22.60654188598,3.93478863924955e-48,2.11597943347834e-45,99.1291197176423,"Down","M04","#9A86A4",1.8073437691659,0.932897800863013,9.17340841649182e-118,-0.735097357594076,5.88828149087562e-46,TRUE,-1.89758469587313,4.30730183881259e-20,1.87085998714272e-17
"CCKBR","CCKBR",-1.75397051199254,7.08472435266791,-10.4734006706453,1.56864037923825e-19,6.56098363064353e-17,-24.3643957481146,1.03198351859857e-51,9.71182489627806e-49,107.319109853231,"Down","M04","#9A86A4",0.990745269836699,0.890154015149535,4.45171284507757e-91,-0.817620980499105,1.59309730450257e-64,TRUE,-1.75397051199254,1.56864037923825e-19,6.56098363064353e-17
"SOSTDC1","SOSTDC1",-1.97135268927612,7.25295680053358,-10.4531504895184,1.76677578858313e-19,7.12578535016761e-17,-21.2145872003267,3.52820624894806e-45,1.07686576133433e-42,92.3699197890631,"Down","M04","#9A86A4",1.2830109120717,0.843976453972525,1.44078364788025e-72,-0.756685407882114,4.37093916180813e-50,TRUE,-1.97135268927612,1.76677578858313e-19,7.12578535016761e-17
"MT1H","MT1H",-1.88596468502239,11.7540777583097,-9.9146067589486,4.13813662512847e-18,1.50748312605083e-15,-21.1053538920559,6.07735686225272e-45,1.75978438578e-42,91.82906513507,"Down","M04","#9A86A4",1.584480380175,0.851483737259649,3.89277368933261e-75,-0.737366464012397,2.26556318701925e-46,TRUE,-1.88596468502239,4.13813662512847e-18,1.50748312605083e-15
"MT1X","MT1X",-1.95354894227612,11.6037068876679,-9.85677564385645,5.79839876402134e-18,2.04629116381541e-15,-20.1937129596573,6.02784203829633e-43,1.36144840276961e-40,87.2555772108398,"Down","M04","#9A86A4",1.6428282885,0.821665051449255,1.13558284934864e-65,-0.755798906289834,6.58547594837442e-50,TRUE,-1.95354894227612,5.79839876402134e-18,2.04629116381541e-15
"AZGP1","AZGP1",-2.59424313147761,7.31813439959702,-9.67105021354252,1.70960129740478e-17,5.85046286411885e-15,-15.7372831629541,1.5285434489272e-32,5.5504312439662e-31,63.3966529627332,"Down","M04","#9A86A4",2.4949821785637,0.816974013959934,2.41600962592327e-64,-0.705214440546625,7.26020134070857e-41,TRUE,-2.59424313147761,1.70960129740478e-17,5.85046286411885e-15
"MT1G","MT1G",-1.84110876831343,9.59314663375746,-9.59841361905884,2.60701162080883e-17,8.65911242170415e-15,-21.0100335909981,9.77977406784689e-45,2.76107471370487e-42,91.355851915436,"Down","M04","#9A86A4",1.43092478909415,0.911453073235187,1.14085268345171e-102,-0.725486051629282,3.0248370952188e-44,TRUE,-1.84110876831343,2.60701162080883e-17,8.65911242170415e-15
"CA2","CA2",-2.82290404437314,10.1553219420373,-9.41635723120799,7.48746956975482e-17,2.41588553860689e-14,-14.5819375371347,1.10010196175496e-29,2.4503849021891e-28,56.8412852251591,"Down","M04","#9A86A4",2.563407987,0.74586622003099,5.78507377727187e-48,-0.63784845840894,1.92318106057756e-31,FALSE,-2.82290404437314,7.48746956975482e-17,2.41588553860689e-14
