dataset,variable_name,level,n,mean_difference,sd_difference,median_difference,min_difference,max_difference
GSE206785,sex,Male,7,0.0183912538857629,0.368794564201203,0.187729705202758,-0.541288872790487,0.464991570069867
GSE206785,sex,Female,2,-0.341430649698563,0.169943559237411,-0.341430649698563,-0.461598892854314,-0.221262406542812
GSE270680,sex,Male,5,-0.699770100380997,0.519267918686609,-0.96343570850458,-1.13666743020825,-0.0594853982108619
GSE270680,sex,Female,6,-0.699700993034935,0.450823038381121,-0.666688945609993,-1.26428989624226,-0.166521748781763
GSE206785,stage_group,Advanced (III-IV),6,-0.124443691412881,0.323255373047465,-0.200901641786949,-0.541288872790487,0.324944584022377
GSE206785,stage_group,Early (I-II),3,0.0641798754268325,0.475767851599672,0.189146949064944,-0.461598892854314,0.464991570069867
GSE270680,stage_group,Advanced (III-IV),6,-0.775229062647296,0.417002781395541,-0.865954613055887,-1.1584079477401,-0.0594853982108619
GSE270680,stage_group,Early (I-II),5,-0.609136416846163,0.536206705130583,-0.275608474225502,-1.26428989624226,-0.166521748781763
GSE206785,histology_group,Non-intestinal,7,-0.0596383161949784,0.35045095224967,-0.180540877031087,-0.541288872790487,0.464991570069867
GSE206785,histology_group,Intestinal,2,-0.0683271544159685,0.556170226197553,-0.0683271544159685,-0.461598892854314,0.324944584022377
GSE270680,histology_group,Intestinal,5,-0.749471919550997,0.584904743881134,-1.12039512431185,-1.26428989624226,-0.0594853982108619
GSE270680,histology_group,Non-intestinal,6,-0.658282810393268,0.375134911905987,-0.666688945609993,-1.1584079477401,-0.218866840669442
GSE206785,platform,3P,2,-0.360914874910787,0.255087354100928,-0.360914874910787,-0.541288872790487,-0.180540877031087
GSE206785,platform,5P,8,0.0724934112064801,0.355118833387062,0.188438327133851,-0.461598892854314,0.464991570069867
GSE270680,platform,3P;5P,1,-0.0594853982108619,,-0.0594853982108619,-0.0594853982108619,-0.0594853982108619
GSE270680,platform,5P,8,-0.84963227675818,0.432109121366787,-1.04191541640822,-1.26428989624226,-0.166521748781763
GSE270680,platform,3P,2,-0.420256423919147,0.204563092226214,-0.420256423919147,-0.564904373612792,-0.275608474225502
